Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Device Model,Product Title,Product ID,Product Type,SKU ID,Currency of Sale,Item Price,Taxes Collected,Charged Amount,City of Buyer,State of Buyer,Postal Code of Buyer,Country of Buyer
GPA.3301-1209-9440-32750,2018-08-01,1533083234,Charged,addison,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,BRL,31.99,0.00,31.99,Lins,SP,16403125,BR
GPA.3332-6053-5780-37213,2018-08-01,1533083256,Charged,HWMYA-L6737,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,EUR,3.18,0.61,3.79,,,,DE
GPA.3357-0230-9510-42365,2018-08-01,1533083257,Charged,HWDUK,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,MYR,37.99,0.00,37.99,,,75150,MY
GPA.3315-9498-9382-53928,2018-08-01,1533083349,Charged,hwt1701,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PHP,50.00,0.00,50.00,,,6000,PH
GPA.3333-4798-9936-84101,2018-08-01,1533083355,Charged,cheryl,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,TWD,30.00,1.00,31.00,,,330,TW
GPA.3350-2471-8840-25119,2018-08-01,1533083358,Charged,HWMYA-L6737,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,0.17,1.09,,,,DE
GPA.3394-6784-1042-93809,2018-08-01,1533083493,Charged,HWDUK,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,MYR,4.49,0.00,4.49,,,75150,MY
GPA.3345-9197-4886-13659,2018-08-01,1533083620,Charged,on7xelte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",Ho Chi Minh,THÀNH PHỐ HỒ CHÍ MINH,700000,VN
GPA.3354-8023-6464-72705,2018-08-01,1533083798,Charged,heroqltetmo,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,USD,9.99,0.00,9.99,UNINCORPORATED,TX,76528,US
GPA.3371-9543-4722-22483,2018-08-01,1533083981,Charged,sf317,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp1,USD,7.99,0.00,7.99,MINOT,ND,58703,US
GPA.3315-0395-7532-63824,2018-08-01,1533084244,Charged,gtanotexllte,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,IDR,"269,000.00",0.00,"269,000.00",Cimahi,JAWA BARAT,40513,ID
GPA.3360-0685-4359-78332,2018-08-01,1533084676,Charged,A1601,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Vũng Tàu,BÀ RỊA–VŨNG TÀU,700000,VN
GPA.3312-7030-1315-02268,2018-08-01,1533084693,Charged,dreamlte,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,SEK,79.20,19.80,99.00,,,,SE
GPA.3390-7209-8743-08543,2018-08-01,1533084736,Charged,dreamlte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,SEK,32.80,8.20,41.00,,,,SE
GPA.3356-3473-7985-25946,2018-08-01,1533084772,Charged,kona3g,830 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.sanguo.tok5,TWD,229.00,11.00,240.00,北區,台中市,40448,TW
GPA.3339-8479-3296-65727,2018-08-01,1533084823,Charged,a5y17lte,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,TRY,12.70,2.29,14.99,DÜZCE,MERKEZ,81100,TR
GPA.3364-9257-7271-17407,2018-08-01,1533085110,Charged,klte,7000 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.99.99,EUR,79.82,15.17,94.99,,,,DE
GPA.3321-2167-7105-79404,2018-08-01,1533085480,Charged,noblelte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Bạc Liêu,BẮC LIEU,260000,VN
GPA.3351-0897-2598-70910,2018-08-01,1533085588,Charged,j53g,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",huyện hóc môn,THÀNH PHỐ HỒ CHÍ MINH,,VN
GPA.3334-8836-0221-61846,2018-08-01,1533085812,Charged,j7y17lte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",Cà Mau,CÀ MAU,211033,VN
GPA.3345-8695-8407-65113,2018-08-01,1533086189,Charged,a5lte,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,THB,625.00,0.00,625.00,แม่เมาะ,ลำปาง,52220,TH
GPA.3332-9008-0073-69914,2018-08-01,1533086204,Refund,a5y17lte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,TRY,12.70,-2.29,-14.99,DÜZCE,MERKEZ,81100,TR
GPA.3339-8479-3296-65727,2018-08-01,1533086218,Refund,a5y17lte,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,TRY,12.70,-2.29,-14.99,DÜZCE,MERKEZ,81100,TR
GPA.3340-2037-0450-84948,2018-08-01,1533086424,Charged,HWRNE,Super Gift Pack (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnya9,THB,125.00,0.00,125.00,ตรัง,ตรัง,92000,TH
GPA.3332-8934-6416-92445,2018-08-01,1533086433,Charged,msm8974,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,THB,34.00,0.00,34.00,แกลง,ระยอง,21190,TH
GPA.3341-9292-3676-38143,2018-08-01,1533086967,Charged,gracerlte,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,VND,"223,000.00",0.00,"223,000.00",Bình Dương,BÌNH DƯƠNG,,VN
GPA.3315-2010-4438-43382,2018-08-01,1533086991,Charged,starqltesq,200 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew2,USD,1.99,0.00,1.99,CARROLLTON,TX,75019,US
GPA.3361-1053-7269-51607,2018-08-01,1533087319,Charged,j3y17lte,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,EUR,7.97,1.52,9.49,,,,DE
GPA.3320-5220-7058-98329,2018-08-01,1533087350,Charged,trhplte,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,VND,"22,000.00",0.00,"22,000.00",Ha Noi,HÀ NỘI,,VN
GPA.3310-4033-5168-31040,2018-08-01,1533087409,Charged,A1601,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Cà Mau,CÀ MAU,971470,VN
GPA.3306-0478-2050-28414,2018-08-01,1533087461,Charged,j7popeltetmo,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,USD,9.99,0.00,9.99,PEMBROKE,GA,31313,US
GPA.3393-8349-3670-91515,2018-08-01,1533087545,Charged,lucye,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,USD,0.99,0.00,0.99,California,CA,90201,US
GPA.3327-3274-4084-26304,2018-08-01,1533087547,Charged,jackpot2lte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,IDR,"55,000.00",0.00,"55,000.00",bekasi,JAWA BARAT,17131,ID
GPA.3371-3229-0047-66709,2018-08-01,1533087549,Charged,1601,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,IDR,"13,000.00",0.00,"13,000.00",batam,RIAU,,ID
GPA.3347-1550-2551-11913,2018-08-01,1533087552,Charged,j7y17lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Cà Mau,CÀ MAU,211033,VN
GPA.3325-5239-2254-53731,2018-08-01,1533087576,Charged,jackpot2lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,IDR,"13,000.00",0.00,"13,000.00",bekasi,JAWA BARAT,17131,ID
GPA.3345-6022-4043-47047,2018-08-01,1533087593,Charged,jackpot2lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,IDR,"13,000.00",0.00,"13,000.00",bekasi,JAWA BARAT,17131,ID
GPA.3373-8786-8353-55110,2018-08-01,1533087667,Charged,j7y17lte,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,VND,"90,000.00",0.00,"90,000.00",,,,VN
GPA.3387-3444-4451-48836,2018-08-01,1533087677,Charged,j7y17lte,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,VND,"90,000.00",0.00,"90,000.00",Cà Mau,CÀ MAU,211033,VN
GPA.3341-8885-2378-13950,2018-08-01,1533087764,Charged,A37f,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,VND,"22,000.00",0.00,"22,000.00",Long Thành,BÀ RỊA–VŨNG TÀU,123456,VN
GPA.3327-4929-4368-06751,2018-08-01,1533087841,Charged,star2lte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,GBP,0.74,0.15,0.89,,,,GB
GPA.3343-9906-6642-46202,2018-08-01,1533087884,Charged,athene_f,3500 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.49.99,BRL,159.99,0.00,159.99,Belém,PA,66820000,BR
GPA.3396-8705-6784-01260,2018-08-01,1533087995,Charged,hero2lte,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,TWD,30.00,1.00,31.00,,,360,TW
GPA.3330-9571-3830-71698,2018-08-01,1533088024,Charged,j7poplteusc,3500 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.49.99,USD,49.99,0.00,49.99,DES MOINES,IA,50315,US
GPA.3371-1310-5316-61919,2018-08-01,1533088149,Charged,gemini,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,BRL,12.99,0.00,12.99,São Bernardo do Campo,SP,09790530,BR
GPA.3388-7114-1742-39356,2018-08-01,1533088205,Charged,A1601,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Hà Nội,,,VN
GPA.3394-7126-7600-53871,2018-08-01,1533088228,Charged,hero2lte,200 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew2,TWD,60.00,3.00,63.00,,,360,TW
GPA.3356-1999-0169-60074,2018-08-01,1533088250,Charged,tissot_sprout,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,THB,34.00,0.00,34.00,,,83120,TH
GPA.3351-9375-4257-31538,2018-08-01,1533088295,Charged,greatqlte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,USD,0.99,0.00,0.99,UNINCORPORATED,NC,27107,US
GPA.3349-2555-3518-72074,2018-08-01,1533088645,Charged,on7xelte,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,TWD,30.00,1.00,31.00,,,557,TW
GPA.3367-2474-4470-01417,2018-08-01,1533088664,Charged,HWMYA-L6737,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,0.17,1.09,,,,DE
GPA.3369-1996-4477-76179,2018-08-01,1533088814,Charged,on7xelte,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,TWD,30.00,1.00,31.00,,,557,TW
GPA.3327-9471-7424-75484,2018-08-01,1533088829,Charged,starlte,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,EUR,15.96,3.03,18.99,,,,DE
GPA.3319-2290-0393-64398,2018-08-01,1533088898,Charged,HWCAM-H,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,THB,625.00,0.00,625.00,สารภี,เชียงใหม่,50140,TH
GPA.3320-7362-6841-43469,2018-08-01,1533089545,Charged,ghost,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,USD,0.99,0.00,0.99,UNINCORPORATED,IL,61830,US
GPA.3321-1395-4980-65726,2018-08-01,1533089687,Charged,ASUS_X00QD,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,VND,"450,000.00",0.00,"450,000.00",Ho Chí Minh,LONG AN,,VN
GPA.3348-7961-7118-10966,2018-08-01,1533089745,Charged,HWRNE,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,SAR,3.51,0.18,3.69,jazan,,14007,SA
GPA.3384-3572-4598-25248,2018-08-01,1533089893,Charged,athene_f,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,BRL,62.99,0.00,62.99,Belém,PA,66820000,BR
GPA.3316-3884-1026-53901,2018-08-01,1533090076,Charged,A1601,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,IDR,"139,000.00",0.00,"139,000.00",Palangka Raya,KALIMANTAN TENGAH,73111,ID
GPA.3372-0591-9935-93683,2018-08-01,1533090081,Charged,dream2qltesq,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,USD,3.99,0.00,3.99,UNINCORPORATED,NC,27891,US
GPA.3309-3031-7407-43024,2018-08-01,1533090109,Charged,heroqltetmo,2100 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.29.99,USD,29.99,0.00,29.99,CHULA VISTA,CA,91950,US
GPA.3390-4222-6133-69029,2018-08-01,1533090328,Charged,HWWAS-H,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,HRK,60.00,15.00,75.00,,,,HR
GPA.3360-6808-9186-02290,2018-08-01,1533090370,Charged,HWWAS-H,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,HRK,6.40,1.60,8.00,,,,HR
GPA.3308-4082-9724-82552,2018-08-01,1533090400,Charged,HWWAS-H,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,HRK,6.40,1.60,8.00,,,,HR
GPA.3329-6201-2833-84418,2018-08-01,1533090422,Charged,HWWAS-H,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,HRK,6.40,1.60,8.00,,,,HR
GPA.3324-2459-6114-96263,2018-08-01,1533090507,Charged,G3223,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp1,PEN,25.99,0.00,25.99,Huancayo,,,PE
GPA.3329-7731-5548-20257,2018-08-01,1533090712,Charged,greatlte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,RUB,227.97,41.03,269.00,Норильск,Красноярский край,663340,RU
GPA.3370-6305-6469-38921,2018-08-01,1533090929,Charged,trlte,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,SGD,12.98,0.00,12.98,,,579721,SG
GPA.3350-6017-7948-04678,2018-08-01,1533090985,Charged,hero2qlteue,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",,,700000,VN
GPA.3390-8528-4009-60531,2018-08-01,1533091028,Charged,hero2qlteue,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",,,700000,VN
GPA.3399-2150-9995-15105,2018-08-01,1533091208,Charged,dreamqltesq,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,USD,9.99,0.00,9.99,PHOENIX,AZ,85053,US
GPA.3321-9974-7348-11898,2018-08-01,1533091385,Charged,on7xelte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Pleiku,GIA LAI,600000,VN
GPA.3346-3332-5081-31125,2018-08-01,1533091427,Charged,A1601,1400 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.19.99,VND,"450,000.00",0.00,"450,000.00",Cần Thơ,BẮC NINH,111111,VN
GPA.3382-3301-1223-58057,2018-08-01,1533091544,Charged,noblelte,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,THB,300.00,0.00,300.00,สันกำแพง,เชียงใหม่,50130,TH
GPA.3353-8990-7737-38650,2018-08-01,1533091722,Charged,HWMYA-L6737,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,0.17,1.09,,,,DE
GPA.3327-8294-8083-87543,2018-08-01,1533091735,Charged,HWMYA-L6737,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,0.17,1.09,,,,DE
GPA.3366-0649-4379-12101,2018-08-01,1533091803,Charged,G3426,100 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew1,TWD,30.00,1.00,31.00,,,312,TW
GPA.3303-3755-0660-23638,2018-08-01,1533091835,Charged,1603,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PHP,50.00,0.00,50.00,baliuag,BULACAN,3001,PH
GPA.3367-6597-9827-59054,2018-08-01,1533091931,Charged,j7elte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,USD,0.98,0.00,0.98,Zarate,Buenos Aires,2800,AR
GPA.3318-7703-8985-86183,2018-08-01,1533092169,Charged,whyred,7000 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.99.99,VND,"2,250,000.00",0.00,"2,250,000.00",,,,VN
GPA.3307-2364-1369-67239,2018-08-01,1533092235,Charged,OnePlus6,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,PHP,50.00,0.00,50.00,Quezon City,METRO MANILA,1901,PH
GPA.3394-7953-9630-98142,2018-08-01,1533092299,Charged,ASUS_X00DD,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,THB,125.00,0.00,125.00,Potaram,ราชบุรี,70120,TH
GPA.3390-4760-3936-73468,2018-08-01,1533092315,Charged,greatlte,超级宝盒 (三国志猛将召唤: 暗金武将强势来袭！),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnya9,TWD,105.00,5.00,110.00,,,268,TW
GPA.3366-4348-6415-96325,2018-08-01,1533092475,Charged,HWFIG-H,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp1,PEN,25.99,0.00,25.99,Lima,LINA,LIMA 01,PE
GPA.3312-1501-8201-89917,2018-08-01,1533092532,Charged,HWRNE,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,MYR,37.99,0.00,37.99,sepang,KUALA LUMPUR,43800,MY
GPA.3314-3719-8761-91326,2018-08-01,1533092675,Charged,noblelte,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,IDR,"13,000.00",0.00,"13,000.00",surabaya,JAWA TIMUR,60111,ID
GPA.3306-0356-6535-22952,2018-08-01,1533092828,Charged,j7y17lte,700 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.9.99,VND,"223,000.00",0.00,"223,000.00",,,810000,VN
GPA.3369-0089-6871-33801,2018-08-01,1533092918,Charged,ASUS_Z01KD_2,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,BRL,3.19,0.00,3.19,Ivoti,RS,93900000,BR
GPA.3329-7131-2641-38458,2018-08-01,1533093069,Charged,on7xelte,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",Hà Nội,HÀ NỘI,,VN
GPA.3398-2769-0778-99849,2018-08-01,1533093110,Charged,D6503,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,EUR,3.18,0.61,3.79,,,,DE
GPA.3370-2847-7418-88293,2018-08-01,1533093315,Charged,G3416,280 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.3.99,VND,"90,000.00",0.00,"90,000.00",Sơn La,SƠN LA,360000,VN
GPA.3358-2533-9583-50309,2018-08-01,1533093338,Charged,D6503,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,0.17,1.09,,,,DE
GPA.3368-1611-5140-43991,2018-08-01,1533093547,Charged,CPH1607,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,THB,34.00,0.00,34.00,ดอกคำใต้,พะเยา,56120,TH
GPA.3394-8564-8981-08648,2018-08-01,1533093555,Charged,ja3g,Special Package (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.sp2,VND,"90,000.00",0.00,"90,000.00",Hồ Chí Minh,THÀNH PHỐ HỒ CHÍ MINH,700000,VN
GPA.3311-9801-7877-05911,2018-08-01,1533093587,Charged,A850,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,MYR,4.49,0.00,4.49,Petaling Jaya,SELANGOR,47830,MY
GPA.3391-4108-3616-87488,2018-08-01,1533093873,Charged,greatlte,520 diamonds (Final Kingdoms: Darkgold Descends!),com.rghg.sgzmjzhdny,inapp,com.rghg.sgzmjzhdnyanew4,TWD,152.00,8.00,160.00,,,900,TW
GPA.3341-1085-6637-05108,2018-08-01,1533093888,Charged,j3x3g,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,VND,"23,000.00",0.00,"23,000.00",Củ Chi,THÀNH PHỐ HỒ CHÍ MINH,,VN
GPA.3384-6451-2050-86474,2018-08-01,1533093893,Charged,GS160,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,0.17,1.09,,,,DE
GPA.3329-9192-2073-34266,2018-08-01,1533093916,Charged,GS160,70 Diamonds (Pocket Knights 2),com.mngo.knights,inapp,com.mngo.knights.0.99,EUR,0.92,0.17,1.09,,,,DE
